speaker,bigram,n,total,tf,idf,tf_idf
J. B. Pritzker,rebuild illinois,7,22020,0.0017618927762396174,3.912023005428146,0.006892565073747048
J. B. Pritzker,quedarse en,6,22020,0.0015101938082053865,3.2188758248682006,0.004861126340097962
J. B. Pritzker,orden de,5,22020,0.0012584948401711553,3.912023005428146,0.004923260766962177
J. B. Pritzker,cook county,4,22020,0.0010067958721369243,3.912023005428146,0.003938608613569742
J. B. Pritzker,de quedarse,4,22020,0.0010067958721369243,3.912023005428146,0.003938608613569742
J. B. Pritzker,este momento,4,22020,0.0010067958721369243,3.2188758248682006,0.0032407508933986417
J. B. Pritzker,northern illinois,4,22020,0.0010067958721369243,3.912023005428146,0.003938608613569742
J. B. Pritzker,reduced lunch,4,22020,0.0010067958721369243,3.2188758248682006,0.0032407508933986417
J. B. Pritzker,aún podrá,3,22020,7.550969041026932e-4,3.912023005428146,0.0029539564601773066
Janet Mills,maine people,28,4726,0.0330188679245283,3.912023005428146,0.1291705709339482
Janet Mills,maine https,6,4726,0.007075471698113208,3.912023005428146,0.027679408057274618
Janet Mills,coverage act,3,4726,0.003537735849056604,3.912023005428146,0.013839704028637309
Janet Mills,daily live,3,4726,0.003537735849056604,3.912023005428146,0.013839704028637309
Janet Mills,live beginning,3,4726,0.003537735849056604,3.912023005428146,0.013839704028637309
Janet Mills,maine cdc,3,4726,0.003537735849056604,3.912023005428146,0.013839704028637309
Janet Mills,maine health,3,4726,0.003537735849056604,3.912023005428146,0.013839704028637309
Janet Mills,mepolitics https,3,4726,0.003537735849056604,3.912023005428146,0.013839704028637309
Janet Mills,mepublichealth daily,3,4726,0.003537735849056604,3.912023005428146,0.013839704028637309
Janet Mills,blaine house,2,4726,0.0023584905660377358,3.912023005428146,0.009226469352424872
Jared Polis,doingmypartco https,26,9817,0.01209865053513262,3.912023005428146,0.047330199228074354
Jared Polis,ltgovofco mccluskieforco,14,9817,0.006514657980456026,3.912023005428146,0.02548549189204004
Jared Polis,jared polis,8,9817,0.0037226617031177293,3.912023005428146,0.01456313822402288
Jared Polis,coleg copolitics,7,9817,0.003257328990228013,3.912023005428146,0.01274274594602002
Jared Polis,copolitics https,6,9817,0.002791996277338297,3.912023005428146,0.01092235366801716
Jared Polis,colorado https,5,9817,0.002326663564448581,3.912023005428146,0.0091019613900143
Jared Polis,people money,5,9817,0.002326663564448581,3.912023005428146,0.0091019613900143
Jared Polis,coloradans money,4,9817,0.0018613308515588647,3.912023005428146,0.00728156911201144
Jared Polis,colorado covid,4,9817,0.0018613308515588647,3.912023005428146,0.00728156911201144
Jared Polis,colorado update,4,9817,0.0018613308515588647,3.912023005428146,0.00728156911201144
Jay Inslee,waleg https,31,13530,0.010782608695652174,3.912023005428146,0.042181813275920875
Jay Inslee,paidleavewa careerconnectwa,24,13530,0.008347826086956521,3.912023005428146,0.032656887697487126
Jay Inslee,waleg paidleavewa,24,13530,0.008347826086956521,3.912023005428146,0.032656887697487126
Jay Inslee,wegotthiswa https,13,13530,0.004521739130434782,3.912023005428146,0.01768914750280553
Jay Inslee,home stay,11,13530,0.0038260869565217392,2.120263536200091,0.008112312660243827
Jay Inslee,protect washingtonians,8,13530,0.002782608695652174,3.912023005428146,0.010885629232495711
Jay Inslee,wa https,8,13530,0.002782608695652174,3.912023005428146,0.010885629232495711
Jay Inslee,king snohomish,6,13530,0.0020869565217391303,3.912023005428146,0.008164221924371782
Jay Inslee,washingtonians healthy,5,13530,0.0017391304347826088,3.912023005428146,0.006803518270309819
